phrasalVerb,example
abide by,"Ah, surely,' Maram said, `this is the time to abide by the letter of his rule?"
abide by,They promised to abide by the rules of the contest.
accord with,Hemming’s account does not accord with the police evidence.
account for,A number of factors account for the differences between the two scores.
account for,Electronic goods account for over 30% of our exports.
account for,He said: 'Every single transaction has been properly accounted for.'
account for,How do you account for this sudden improvement in his test scores?
account for,Investors were told that over half their savings had vanished and could not be accounted for.
account for,Male cases account for about 1 per cent of all breast cancer in the country.
account for,One small child was still not accounted for.
account for,"Retail sales over the internet last month accounted for 11.9 per cent of the total, excluding fuel, a new high."
account for,She had to account for every penny she spent.
account for,The increase in carbon dioxide emissions may account for changes in the climate.
account for,There is simply no accounting for some people's tastes.
account for,This was fully and properly accounted for and audited.
account for,"This week's deluge of strengthening numbers included improved surveys of construction, manufacturing and, crucially, services, which account for three quarters of the economy."
account for,You will be brought before the disciplinary panel to account for your behaviour.
ache for,He was so lonely he ached for the sound of a human voice.
act as,Body fat acts as an insulator.
act as,You speak Greek – will you act as interpreter?
act on,I’m acting on the advice of my lawyers.
act on,They were acting on the instructions of senior managers.
act out,He was acting out his feelings of inferiority by being overly aggressive.
act out,He was gone so fast Tesla had no choice but to act out at the same time.
act out,If something made Ben act out of character and he got drunk and then for some reason he got behind the wheel of that car.
act out,"It's enough to make anyone act out of character, so please - don't feel embarrassed by last night!"
act out,"Just imagining these things is fine, as long as you don’t try to act them out."
act out,"Never empty, we can never act ex nihilo, never act out of whim, never act as God."
act out,The scenarios that the trainees act out are videotaped.
act up,Agree with your partner how you are going to set boundaries for your stepson when he acts up.
act up,I hope my back doesn’t start acting up again.
act up,"Indeed, children who are hugely acting up are, in my experience, asking to be assertively managed."
act up,She began to play truant and acted up at home.
act up,Surely none of them could possibly be acting up just for the cameras?
act up,The kids have been acting up again.
act up,Use the camera all the time so the family is used to it and stops going shy or acting up.
add in,We need to add in some information about his family background.
add on,He told the man at the check stand that he was installing a tub in an add-on bathroom.
add on,The referee added on eight minutes of injury time.
add on,They refurbished the whole place and even added on.
add on to,You might want to add on to the kitchen at a later date.
add to,Add the amount of tax you paid to the total.
add to,All her many expenses were added to my bill.
add to,The arrival of five more guests only added to the confusion.
add up,All these little expenses soon add up.
add up,Even now most governments are assuming that people's claims collectively can be made to add up by a growing economy.
add up,How did the numbers add up for your club in the transfer window?
add up,I’m not very good at adding up in my head.
add up,Now add up the number of calories you have eaten.
add up,Now all he is doing is adding up how long he has to serve.
add up,There’s something about this case that just doesn’t add up.
add up to,All can add up to a bitter pill to swallow.
add up to,All that can add up to a significant weight loss.
add up to,"Family and friends can add up to 1,200 a year into the accounts."
add up to,"His business expenses add up to around £4,000 a year."
add up to,It can add up to 3lb.
add up to,It sounds like harmless fun - but kids' soaring expectations can add up to a financial crisis for parents.
add up to,Pick the ones you fancy so they add up to your daily total.
add up to,"Plus, you can still add up to three snacks a week, too!"
add up to,Regular use of either can add up to 6lb.
add up to,"Retailers make huge profits from extended warranties, which can add up to 50 per cent of the purchase price."
add up to,"Similarly, excesses can add up to nearly 1,000."
add up to,"That adds up to a total loss of nearly 10,000 over 20 years."
add up to,"The conditions, atmosphere and pitch can all add up to difficult nights."
add up to,The total added up to three times the actual profits.
add up to,These new measures do not add up to genuine reform.
add up to,They include the most serious charge of aiding the enemy and could add up to a cumulative total of 154 years in jail.
add up to,This may seem easier said than done - be aware that toiletries take up a lot of space and can add up to quite a weight.
add up to,"You also avoid paying things like valuation, legal and exit fees which can add up to 600 or more."
adhere to,"His followers adhere to a blend of Buddhist, Hindu, and Christian teachings."
adhere to,We must strictly adhere to the terms of the contract.
adjourn to,Let’s adjourn to the bar.
agree with,He doesn’t agree with giving money to beggars.
agree with,I don’t agree with corporal punishment in schools.
agree with,I find that country life really agrees with me.
agree with,Stop taking the medicine if it doesn’t agree with you.
alight on,Her eyes alighted on an extraordinary sight.
allow for,"Beyond that, we have the strongest squad here available to us, allowing for injuries."
allow for,Neither theory allows for the other.
allow for,Take extra clothes to allow for the weather and don't forget an extra pair of shoes.
allow for,The RFU has requested spectators not to bring large bags or rucksacks and advised them to arrive earlier than usual to allow for the enhanced checks.
allow for,"The cost of the new road, allowing for inflation, is around £17 million."
allow for,The survey does not allow for the fact that some students are attending part-time.
allow of,The evidence allows of no other interpretation.
allow of,"The possibility must be allowed of concepts which are not concepts of any actual thing, and of names which express a sense but have no denotation."
angle for,She didn’t want Ron thinking that she was angling for sympathy.
answer back,"A survey of 2,000 parents suggests this is the age when children answer back and become influenced by their peers."
answer back,At school he was bullied for his weight but says he always answered back.
answer back,But there are ways of answering back.
answer back,Don’t you dare answer me back!
answer back,I don’t like children who answer back.
answer back,I'm not going to answer back.
answer back,It is his way of answering back those who doubted him.
answer back,It's a festival where writers get an opportunity to meet their audiences - but their audiences also get to answer back.
answer back,"So what happens is one sees another one calling and waves, and the other one waves an answer back."
answer back,"The way you answer back, his father sang."
answer back,"You are answering back, get up that hill."
answer for,But this week he has a lot to answer for.
answer for,He will have to answer for the detailed handling of the operation.
answer for,"I can’t answer for my colleagues, but as far as I’m concerned this is a great proposal."
answer for,The managers of that company have a lot to answer for.
answer for,"Yes, the average rock festival has a lot to answer for."
answer for,You have to answer for any problems that happen during the show.
answer to,I answer to no one except the president.
answer to,a small boy answering to the name of Andrew
arrive at,How did they arrive at that figure?
arrive at,The two studies arrive at very different conclusions.
ask after,He was about to ask after Paula when the kitchen door opened and she appeared lugging a rubbish sack.
ask after,I met Bob and he asked after you.
ask after,"I would engage him in conversation, ask after his health and that of his family, and tell him it was good to hear his voice."
ask after,`I thought you might be calling to ask after that guy you sent us.
ask around,Ask around and find out if it is.
ask around,"I asked around, but nobody had seen him for days."
ask around,I'm 17 and have been asking around for plumbing apprenticeships for a good 4 months now.
